iter	Passed	Remaining
420	2434	3347
421	2440	3342
422	2446	3336
423	2452	3331
424	2457	3325
425	2463	3319
426	2469	3313
427	2474	3307
428	2481	3302
429	2487	3296
430	2492	3290
431	2498	3284
432	2503	3278
433	2508	3271
434	2513	3264
435	2519	3258
436	2524	3252
437	2530	3247
438	2536	3241
439	2541	3234
440	2547	3228
441	2553	3223
442	2558	3216
443	2563	3210
444	2568	3203
445	2573	3197
446	2579	3191
447	2585	3185
448	2590	3179
449	2596	3173
450	2601	3166
451	2606	3159
452	2612	3154
453	2617	3148
454	2623	3142
455	2628	3136
456	2635	3131
457	2642	3126
458	2647	3120
459	2652	3113
460	2658	3108
461	2664	3102
462	2670	3097
463	2675	3091
464	2681	3084
465	2686	3078
466	2692	3072
467	2698	3066
468	2703	3061
469	2708	3054
470	2714	3049
471	2721	3044
472	2726	3038
473	2732	3032
474	2738	3027
475	2743	3020
476	2748	3013
477	2754	3007
478	2759	3001
479	2763	2994
480	2769	2988
481	2774	2981
482	2779	2974
483	2784	2968
484	2789	2961
485	2794	2955
486	2800	2950
487	2806	2944
488	2812	2939
489	2818	2933
490	2824	2927
491	2830	2922
492	2835	2915
493	2840	2909
494	2845	2902
495	2850	2896
496	2860	2894
497	2872	2895
498	2884	2896
499	2895	2895
500	2906	2894
501	2918	2895
502	2929	2894
503	2939	2892
504	2948	2890
505	2973	2903
506	2979	2897
507	2984	2890
508	2992	2886
509	2998	2881
510	3006	2876
511	3012	2871
512	3020	2867
513	3026	2861
514	3032	2855
515	3037	2849
516	3043	2843
517	3049	2837
518	3055	2831
519	3060	2825
520	3065	2818
521	3070	2811
522	3075	2804
523	3080	2798
524	3084	2791
525	3089	2784
526	3094	2777
527	3099	2770
528	3105	2764
529	3110	2758
530	3116	2752
531	3121	2746
532	3126	2739
533	3131	2732
534	3137	2726
535	3142	2719
536	3146	2713
537	3152	2707
538	3156	2700
539	3161	2693
540	3167	2687
541	3172	2680
542	3177	2674
543	3182	2667
544	3187	2661
545	3192	2654
546	3197	2647
547	3202	2641
548	3206	2634
549	3211	2627
550	3217	2621
551	3223	2615
552	3228	2609
553	3234	2603
554	3239	2597
555	3244	2590
556	3249	2584
557	3254	2578
558	3259	2571
559	3264	2564
560	3269	2558
561	3274	2552
562	3280	2546
563	3285	2539
564	3289	2532
565	3296	2527
566	3300	2520
567	3305	2513
568	3310	2507
569	3315	2500
570	3320	2495
571	3326	2488
572	3331	2482
573	3335	2475
574	3340	2468
575	3345	2462
576	3349	2455
577	3354	2449
578	3360	2443
579	3364	2436
580	3369	2429
581	3374	2423
582	3378	2416
583	3383	2409
584	3387	2403
585	3393	2397
586	3397	2390
587	3402	2383
588	3407	2377
589	3412	2371
590	3418	2365
591	3424	2359
592	3428	2353
593	3433	2346
594	3438	2340
595	3444	2334
596	3448	2328
597	3454	2322
598	3459	2315
599	3464	2309
600	3470	2303
601	3475	2297
602	3480	2291
603	3486	2285
604	3491	2279
605	3497	2273
606	3502	2267
607	3508	2262
608	3514	2256
609	3519	2250
610	3524	2244
611	3529	2237
612	3535	2231
613	3539	2225
614	3544	2218
615	3549	2212
616	3554	2206
617	3558	2199
618	3563	2193
619	3568	2187
620	3573	2180
621	3578	2174
622	3583	2168
623	3588	2162
624	3594	2156
625	3599	2150
626	3604	2144
627	3609	2138
628	3615	2132
629	3621	2126
630	3626	2120
631	3633	2115
